video_id	mp4_id
23	5bde82b3-4a86-497b-a4c6-a26f3ce01e87
28	5bde82b3-4a86-497b-a4c6-a26f3ce01e87
29	744707ad-c934-4b98-8df6-64b545881543
41	0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
44	4680605f-b06d-4456-ad6e-6c4427175e4e
50	fce13627-0b42-435c-898c-235aa351b8fb
56	cef39ed0-434d-469e-a8de-c45bded68685
74	53d737e6-c0e6-4cfa-acf9-bf14cb33b313
77	bef99f27-2394-4d47-a9af-035136a815df
81	2d86a7ed-c970-47ef-80b2-c87393ef4734
87	167471c0-9faf-4d4d-b9c3-291e859d3dcd
107	c8835201-cedb-4a71-9f24-818950cbfdd6
108	cf0ecdfd-49e3-4dfc-bc7b-c055173945c3
115	7253c38f-1439-462d-b699-d4712a9bf093
118	ec90a3c6-9441-42f3-bc93-a5da6c967794
128	d7f76bb3-29d2-4d4e-a766-350f420b9c7d
131	05aa5dd6-77ee-454e-ad3d-1e34b0d0b62b
132	7c41de7f-b269-4431-ba03-ae25f1c269e4
134	18efe569-a8ea-49fb-8776-aa4da710502c
135	63f36feb-8f86-44de-8c83-03c129624c2d
137	43741688-7c5f-4a12-9a5d-956cd04c8e4c
142	8ee0f515-ff66-4189-bd7a-bde430931fe9
143	32e6806f-7402-4615-b02f-98d39af02b34
146	ac78bc80-4f3a-481a-91e6-213bc427c0b3
148	ea7de670-b567-41f3-91fd-46447acc4f2b
151	2c81c2ee-4b36-4de3-9463-c1fb6dd33899
152	2eb1256f-ddc8-4295-bde5-c77d36f82b6b
153	2eb1256f-ddc8-4295-bde5-c77d36f82b6b
154	6e5975cf-1d81-47a0-a487-7cde60912857
159	ef2f7d4f-8e11-4f25-9139-713a5436fa24
162	65ef52f0-93a4-435c-ae13-ab502aa60bd7
163	164f6283-d242-4804-96af-b01140c2a8cf
165	788b1fd3-1c7f-447e-9507-85cac67ce378
169	c33685cc-d141-4e97-9c34-f5d56fe2c480
170	fda796df-e400-4805-a998-525476364085
171	9fc87799-741f-4741-9b8e-80de2b3a7149
175	8038cbde-d102-4099-9ea9-16049f148300
176	a46d2ea8-33de-43f2-9d04-47a041c5e983
180	fcb7689a-5614-475c-9ea8-493fbe045499
182	5f3c916e-a2d5-44ce-b39d-41c9d29de48f
184	9a54607c-02a3-48c6-ad11-02a5e27812de
185	030c76ab-9e19-4b78-9a7a-86cd7ba8472a
187	61e32a88-cbee-4319-9f54-564af7e118a5
190	b2228c2e-38dc-4687-aeba-00c762c678e3
191	0f4a13e4-64ae-4a98-9698-0166e5819808
192	1c0af8fb-1c26-443b-b732-0f6649116972
212	2f65f772-5329-4e5a-a7a2-3df21fb73933
224	89e4bd51-11dd-4b48-a049-aefc8b0bc604
250	f079f69b-8e70-4526-93c6-1f4e11c4d852
261	4ecfd9f7-3819-424f-9e19-b7c39281506d
